,SIT,Field1,TEXT
954,[ Laziness makes one sad.],sadness,[Kemalasan membuat orang sedih.]
955,When I saw hundreds of snakes twisting over one another in a á movie.,disgust,Ketika saya melihat ratusan ular saling melilit di sebuah film.
956,I saw a skid-row (chronical) alcoholic and I was ashamed of the á people with a high standard of living.,shame,Saya melihat seorang pecandu alkohol (kronikal) berjajar dan saya malu dengan orang-orang dengan standar hidup yang tinggi.
957,When I shot a bird in the head with a shotgun.,guilt,Ketika saya menembak seekor burung di kepala dengan senapan.
958,[ Being close to another person.],joy,[Menjadi dekat dengan orang lain.]
959,[ Uncertainty about my own abilities in an exam.],fear,[Ketidakpastian tentang kemampuan saya sendiri dalam ujian.]
960,[ An unfair punishment.],anger,[Hukuman yang tidak adil.]
961,"Loneliness, being uncertain of myself in the Autumn.",sadness,"Kesepian, menjadi tidak yakin pada diri sendiri di Musim Gugur."
962,A rich man expressing disgust towards an alcoholic.,disgust,Seorang pria kaya mengekspresikan rasa jijik terhadap seorang pecandu alkohol.
963,[ The same as in shame.],guilt,[Sama seperti malu.]
964,I went to a doctor with a complaint. The doctor told me that I á was completely healthy.,joy,Saya pergi ke dokter dengan keluhan. Dokter mengatakan kepada saya bahwa saya benar-benar sehat.
965,"My father was away from home and he did not come back when he was á expected, he came back several hours later than expected.",fear,"Ayah saya jauh dari rumah dan dia tidak kembali ketika dia diharapkan, dia kembali beberapa jam lebih lambat dari yang diharapkan."
966,"I had an implicit agreement with my sister about meeting her, á however she had not understood the situation the same way so she á did not turn up.",anger,"Saya memiliki perjanjian implisit dengan saudara perempuan saya tentang bertemu dengannya, namun dia tidak memahami situasi dengan cara yang sama sehingga dia tidak muncul."
967,I realized that the girl I loved had to leave me.,sadness,Saya menyadari bahwa gadis yang saya cintai harus meninggalkan saya.
968,In the bus I was sitting next to a colleage who was drunk and á behaved in keeping with his state.,disgust,Di dalam bus aku duduk di sebelah seorang rekan yang mabuk dan beh berperilaku sesuai dengan keadaannya.
969,I had promised to help out with domestic chores and I forgot á about it.,shame,Saya telah berjanji untuk membantu pekerjaan rumah tangga dan saya lupa á tentang hal itu.
970,I had promised to call a girl but I did not do it.,guilt,Saya telah berjanji untuk memanggil seorang gadis tetapi saya tidak melakukannya.
971,When I unexpectedly received birthday greetings from a person I á like.,joy,Ketika saya tiba-tiba menerima salam ulang tahun dari orang yang saya sukai.
972,I returned home late from a party last night and I felt afraid á trying to anticipate the reaction of my father.,fear,Saya pulang terlambat dari pesta tadi malam dan saya merasa takut á mencoba mengantisipasi reaksi ayah saya.
973,When I learned that my brother had spoilt an LP of mine.,anger,Ketika saya mengetahui bahwa saudara lelaki saya telah merusak LP saya.
974,When I came to know that a girl I was fond of already had a á boyfriend.,sadness,Ketika saya mengetahui bahwa seorang gadis yang saya sukai sudah memiliki pacar.
975,A too eager approach by a dirty drunken person in a bus.,disgust,Pendekatan yang terlalu bersemangat oleh orang mabuk di bus.
976,I made a major mistake while learning how to use a computer programme á and the teacher criticized me.,shame,Saya membuat kesalahan besar sambil belajar bagaimana menggunakan program komputer á dan gurunya mengkritik saya.
977,"I reproached my mother's cooking and criticised her á personality, and she felt hurt and depressed.",guilt,"Saya mencela masakan ibu saya dan mengkritik kepribadiannya, dan dia merasa terluka dan tertekan."
978,I shot the decisive goal in an ice-hockey match.,joy,Saya menembak gol penentu dalam pertandingan hoki es.
979,When I got lost in New York city a late friday night with a á friend of mine.,fear,Ketika saya tersesat di kota New York larut malam Jumat dengan seorang teman saya.
980,After having quarelled with a relative of mine about politics.,anger,Setelah bertengkar dengan seorang kerabat saya tentang politik.
981,The death of my grandmother.,sadness,Kematian nenekku.
982,When I noticed that a nice person was being exploited á economically.,disgust,Ketika saya perhatikan bahwa orang yang baik telah dieksploitasi á secara ekonomi.
983,I slandered a person behind his back and he got to know about it.,shame,Saya memfitnah seseorang di belakangnya dan dia mengetahui hal itu.
984,I had quarelled with a friend of mine and I later realized that á it was also my fault.,guilt,Saya telah bertengkar dengan seorang teman saya dan saya kemudian menyadari bahwa itu juga salah saya.
985,I passed an exam which I was not sure at all to pass.  I rejoyced á at the result because the possibility of continuing my studies á depended on it.,joy,Saya lulus ujian yang saya tidak yakin lulus sama sekali. Saya senang karena hasilnya karena kemungkinan melanjutkan studi saya bergantung padanya.
986,"In the traffic with a car, I nearly got crushed between a bus and á a tram.  The attention of other drivers saved me at the last moment.",fear,"Dalam lalu lintas dengan mobil, saya hampir tertabrak antara bus dan sebuah trem. Perhatian pengemudi lain menyelamatkan saya pada saat terakhir."
987,"I was disappointed and angry at the bad quality of a documentay á program on TV.  In my opinion, the topic was important and the á program should have been made with seriousness and consideration.",anger,"Saya kecewa dan marah pada kualitas buruk dari program dokumenter di TV. Menurut pendapat saya, topik itu penting dan program seharusnya dibuat dengan serius dan penuh pertimbangan."
988,My father had a heart attack when I was not at home (I was still á living with them).  He recovered relatively well although he had á to retire (which implied relief from the stress of a small scale á enterprise).,sadness,Ayah saya mengalami serangan jantung ketika saya tidak di rumah (saya masih á tinggal bersama mereka). Dia pulih relatif baik walaupun dia harus pensiun (yang menyiratkan kelegaan dari tekanan perusahaan skala kecil).
989,"At my grandmother's detestable and selfish conduct towards my á elder sister, although her behavior was due to senility and lack of á understanding.",disgust,"Atas perilaku menjijikkan dan mementingkan diri nenek saya terhadap á kakak perempuan saya, meskipun perilakunya disebabkan oleh kepikunan dan kurangnya pemahaman á."
990,"I arrived late at a seminar concerning my major subject at á university, although I had been appointed to formally oppose the á paper which was being presented.",shame,"Saya datang terlambat di sebuah seminar tentang subjek utama saya di universitas, meskipun saya telah ditunjuk untuk secara resmi menentang kertas yang sedang disajikan."
991,"I had asked the Salvation Army to take away a piece of furniture á of mine, but I forgot to cancel the agreement (a friend of mine á took it) and I thereby caused the Salvation Army people some á unnecessary work.",guilt,"Saya telah meminta Bala Keselamatan untuk mengambil perabot saya, tetapi saya lupa untuk membatalkan perjanjian (seorang teman saya mengambilnya) dan saya dengan demikian membuat orang Bala Keselamatan melakukan pekerjaan yang tidak perlu."
992,"On the cliff by the sea, the silence and the sudden voice of a á bird.(swans of the bay)",joy,"Di tebing di tepi laut, keheningan dan suara tiba-tiba burung á. (Angsa teluk)"
993,A dark night when I had to go to the outdoor lavatory.,fear,Malam yang gelap ketika saya harus pergi ke toilet luar.
994,When I realized that I was far behind the others in the language á course and I could no longer catch up with the others.,anger,Ketika saya menyadari bahwa saya jauh di belakang yang lain dalam kursus bahasa á dan saya tidak bisa lagi mengejar yang lain.
995,"The long lasting illness of my grand-mother, and the changes in á family relationships caused by it.",sadness,"Penyakit nenek buyut yang sudah berlangsung lama, dan perubahan dalam hubungan keluarga yang disebabkan olehnya."
996,"Spoilt, smashed and molded potatoes in the fridge, and having to á clean up the dish later.",disgust,"Kentang busuk, hancur, dan dibentuk kentang di lemari es, dan harus á membersihkan piring nanti."
997,"A truth expressed unthinkingly at a coffee party.  I realized á later that I had been inconsiderate, at a wrong moment and the á wrong place.",shame,"Suatu kebenaran diungkapkan tanpa pikir panjang di sebuah pesta kopi. Saya menyadari á kemudian bahwa saya telah ugal-ugalan, pada saat yang salah dan á tempat yang salah."
998,"I did not go to the exercises, without any adequate reason.",guilt,"Saya tidak pergi ke latihan, tanpa alasan yang memadai."
999,"When I got home from my job, I found a letter from the university á telling me that I had been admitted to begin my studies.",joy,"Ketika saya pulang dari pekerjaan saya, saya menemukan surat dari universitas á yang memberi tahu saya bahwa saya telah diterima untuk memulai studi."
1000,"While watching TV (a war movie), I felt a strong fear of death, á threat and fear of loosing people close to me.",fear,"Saat menonton TV (film perang), saya merasakan ketakutan yang kuat akan kematian, ”ancaman dan ketakutan kehilangan orang yang dekat dengan saya."
1001,I was angry with a friend of mine who behaved in an affected á manner.,anger,Saya marah dengan seorang teman saya yang bertindak dengan cara yang terpengaruh.
1002,I made a long-distance call to people rather close to me and I á thought about the sad incident that had happened to them in the á near past; I knew that they were thinking about it too when I made á the call.,sadness,Saya membuat panggilan jarak jauh ke orang-orang yang agak dekat dengan saya dan saya berpikir tentang kejadian menyedihkan yang terjadi pada mereka di masa lalu yang dekat; Saya tahu bahwa mereka juga memikirkan hal itu ketika saya menelepon.
1003,My parents inherited an appartment and this made them behave in a á peculiar manner.,disgust,Orang tua saya mewarisi apartemen dan ini membuat mereka berperilaku aneh.
1004,When my friend let my personal matters be publicaly known.,shame,Ketika teman saya membiarkan masalah pribadi saya diketahui publik.
1005,"When I think about my family (parents, brothers, sisters) guilt á is a part of my feelings.",guilt,"Ketika saya berpikir tentang kesalahan keluarga (orang tua, saudara, saudari) á adalah bagian dari perasaan saya."
1006,I unexpectedly met a girl with whom I have always got along well. á ( I had not seen her for several months.),joy,Saya tiba-tiba bertemu dengan seorang gadis yang selalu akrab dengan saya. á (Saya belum melihatnya selama beberapa bulan.)
1007,When my father was very drunk and raging at home.,fear,Ketika ayah saya sangat mabuk dan mengamuk di rumah.
1008,"When I did not find the rack used for beating up rugs, in the á yard.",anger,"Ketika saya tidak menemukan rak yang digunakan untuk memukul karpet, di halaman."
1009,When one of my cat died of a disease.,sadness,Ketika salah satu kucing saya meninggal karena suatu penyakit.
1010,I felt disgusted at the environment while getting back to my á student lodging. I did not see anything in the suburb which had á been planned by taking people's comfort into account.,disgust,Saya merasa jijik pada lingkungan saat kembali ke penginapan siswa saya. Saya tidak melihat apa pun di pinggiran kota yang telah direncanakan dengan mempertimbangkan kenyamanan orang.
1011,My girlfriend was away visiting another city and I brought á another girl home. Next morning when I started getting sober I á felt quite ashamed of myself.,shame,"Pacar saya pergi mengunjungi kota lain dan saya membawa pulang seorang gadis. Pagi berikutnya ketika aku mulai sadar, aku merasa malu pada diriku sendiri."
1012,I got 100 FIM too much when I changed money at the bank.  They á soon called me at my job and the situation was embarrasing for á me.,guilt,Saya mendapat 100 DARI terlalu banyak ketika saya menukar uang di bank. Mereka á segera memanggil saya di tempat kerja saya dan situasinya memalukan bagi saya.
1013,"In Sweden, a friend and I lived in an appartment owned by a Finn. á  One day, this man came back to the appartment heavily drunk á (hashish and alcohol).  He was quite dizzy and he broke down, and á I could not foretell his reactions.  However, nothing happened.",fear,"Di Swedia, seorang teman dan saya tinggal di apartemen yang dimiliki oleh seorang Finn. One Suatu hari, pria ini kembali ke apartemen mabuk berat á (ganja dan alkohol). Dia sangat pusing dan dia jatuh, dan á Aku tidak bisa menubuatkan reaksinya. Namun, tidak ada yang terjadi."
1014,"I had an appointment downtown, and the person in question was á half an hour late.",anger,"Saya punya janji di pusat kota, dan orang yang ditanyakan terlambat setengah jam."
1015,The death of my grandmother.,sadness,Kematian nenekku.
1016,"In the army, I had been in hospital for two weeks and as soon as á I returned to the company, a sergeant ordered me to fetch a load á on the tractor trailer.",disgust,"Di ketentaraan, saya sudah di rumah sakit selama dua minggu dan segera setelah saya kembali ke perusahaan, seorang sersan memerintahkan saya untuk mengambil muatan á di trailer traktor."
1017,"On the way back from a Summer spent in Sweden, I drunk with a man á in the train.  I had drunk so much that when I got home I fell á asleep in the entrance hall.  I have never drunk that much, á neither before nor after that incident.  I was ashamed because my á mother and my sister had to see me in that state and my father á had to carry me to bed.",shame,"Dalam perjalanan kembali dari musim panas yang dihabiskan di Swedia, saya mabuk dengan seorang pria di kereta. Saya sudah sangat mabuk sehingga ketika sampai di rumah saya tertidur di pintu masuk. Saya belum pernah minum sebanyak itu, á sebelum atau sesudah insiden itu. Saya malu karena ibu saya dan saudara perempuan saya harus melihat saya dalam keadaan itu dan ayah saya harus membawa saya ke tempat tidur."
1018,"While at primary school, I did not let a friend ring a bell á although he would have liked to do it.  Afterwards I felt bad.",guilt,"Sementara di sekolah dasar, saya tidak membiarkan seorang teman membunyikan lonceng meskipun dia ingin melakukannya. Setelah itu saya merasa tidak enak."
1019,I got a fairly large amount of my taxes back.,joy,Saya mendapatkan kembali jumlah pajak saya yang cukup besar.
1020,"I was jogging in the forest, in the central park area, when I saw á a man hiding behind a tree.  I got frigthened, turned around and á ran out of the forest.",fear,"Saya sedang jogging di hutan, di area taman pusat, ketika saya melihat seorang pria bersembunyi di balik pohon. Saya merasa takut, berbalik dan berlari keluar dari hutan."
1021,"I was coming home in a taxi with a fellow worker of mine.  He was á criticizing my earlier conduct towards him, which to my mind was á unfounded.  When I reached home, I ran out of the taxi and á slammed the door.",anger,"Saya pulang dengan taksi bersama seorang rekan pekerja saya. Dia á mengkritik perilaku saya sebelumnya terhadapnya, yang menurut saya á tidak berdasar. Ketika saya sampai di rumah, saya berlari keluar dari taksi dan membanting pintu."
1022,I had had a farewell party at the place where I had been working á for a year.  That night I could not fall off to sleep.  I was sad á thinking that I would not see my nice fellow workers again.,sadness,Saya mengadakan pesta perpisahan di tempat saya bekerja selama setahun. Malam itu aku tidak bisa tidur. Saya sedih - berpikir bahwa saya tidak akan melihat rekan kerja saya yang baik lagi.
1023,"I was travelling in a local train when a drunkard, smelling á terribly, entered the same carriage and started eating fish that á was stinking.",disgust,"Saya bepergian di kereta lokal ketika seorang pemabuk, berbau sangat, memasuki gerbong yang sama dan mulai makan ikan yang á berbau busuk."
1024,"While quarelling with a fellow worker of mine, I was vehement and á irritated and I told him what I thought of him in plain language.  á I was ashamed of myself when I met him the next day.",shame,"Saat bertengkar dengan sesama pekerja saya, saya sangat bersemangat dan á jengkel dan saya mengatakan kepadanya apa yang saya pikirkan tentang dia dalam bahasa yang sederhana. á Saya malu pada diri sendiri ketika saya bertemu dengannya pada hari berikutnya."
1025,"I was working as a secretary.  My boss was to go to give a á lecture, and wanted me to give him the exact address of the á place.",guilt,"Saya bekerja sebagai sekretaris. Bos saya akan pergi untuk memberikan kuliah, dan ingin saya memberinya alamat tempat yang tepat."
1026,"A sunny Autumn day, after a long rainy period.",joy,"Hari musim gugur yang cerah, setelah periode hujan yang panjang."
1027,"Years ago, on my way to school by the forest path I came across á an exhibitionist.",fear,"Bertahun-tahun yang lalu, dalam perjalanan ke sekolah di jalur hutan, saya menjumpai seorang eksibisionis."
1028,"A person close to me mistook my good intentions for bad, and á therefore associated unpleasant traits to me.",anger,"Seseorang yang dekat dengan saya salah mengira niat baik saya adalah buruk, dan karena itu menghubungkan sifat-sifat yang tidak menyenangkan kepada saya."
1029,[ A person close to me told me that his positive regard depended á on my conduct.],sadness,[Seseorang yang dekat dengan saya memberi tahu saya bahwa sikap positifnya bergantung pada perilaku saya.]
1030,When an untidy and heavyly drunk person made endeavours to á approach me.,disgust,Ketika seseorang yang berantakan dan mabuk berat berusaha untuk mendekati saya.
1031,"As a little girl, I was sick in the middle of a school day and I á vomitted in the basin of the classroom.",shame,"Sebagai seorang gadis kecil, saya sakit di tengah hari sekolah dan saya muntah di baskom ruang kelas."
1032,I lost my self-control and raised my voice at a child.,guilt,Saya kehilangan kendali diri dan mengangkat suara pada seorang anak.
1033,I got to know that I had been accepted at university.,joy,Saya mengetahui bahwa saya diterima di universitas.
1034,I had been watching a TV-program on paranormal phenomena.  At á night I could not fall off to sleep as I feared that humanoids á were on the move.,fear,Saya telah menonton program TV tentang fenomena paranormal. Pada á malam saya tidak bisa tidur karena saya takut bahwa humanoids á sedang bepergian.
1035,"My superior blamed me for some neglects at work in front of á others.  In fact, the task in question was not supposed to be á done by me.",anger,"Atasan saya menyalahkan saya karena beberapa orang lalai bekerja di depan orang lain. Sebenarnya, tugas yang dimaksud tidak seharusnya dilakukan oleh saya."
1036,My father suddenly fell ill and died.,sadness,Ayah saya tiba-tiba jatuh sakit dan meninggal.
1037,When a friend of mine got drunk and started to blame and scorn my á other friends and me.,disgust,Ketika seorang teman saya mabuk dan mulai menyalahkan dan mencaci saya á teman-teman lain dan saya.
1038,When I forgot a promise made to a friend of mine.,shame,Ketika saya lupa janji dibuat untuk teman saya.
1039,It was my turn to cook dinner.  I forgot a dish (the favourite of á the family) in the oven and it got burnt and was uneatable.,guilt,Giliranku untuk memasak makan malam. Saya lupa piring (favorit keluarga) di oven dan terbakar dan tidak dapat dimakan.
1040,My joy was the joy of meeting again.  My husband came home after á having been away for weeks (for work).  I was on the railway á station to meet him.,joy,Kegembiraan saya adalah kegembiraan bertemu lagi. Suamiku pulang setelah á pergi selama berminggu-minggu (untuk bekerja). Saya berada di stasiun kereta api untuk bertemu dengannya.
1041,A relative of mine had come to see my husband to talk to him á about a problem concerning his sister and me.  I was angry á because this relative of mine did not dare to speak to me and á instead spoke to my husband.  I got to know about it later the á same day.,anger,Seorang kerabat saya datang menemui suami saya untuk berbicara dengannya á tentang masalah yang menyangkut saudara perempuannya dan saya. Saya marah á karena kerabat saya ini tidak berani berbicara kepada saya dan á malah berbicara kepada suami saya. Saya harus mengetahuinya nanti pada hari yang sama.
1042,"The death of my father, even though we had not been very close to á each other.",sadness,"Kematian ayahku, meskipun kami belum terlalu dekat satu sama lain."
1043,The male friend of my mother (a widow) moved in to live with us.  á I did not like the man.,disgust,Teman lelaki ibuku (seorang janda) pindah untuk tinggal bersama kami. á Saya tidak suka pria itu.
1044,"The death of my father made me feel quite guilty, because my á attitude towards him had been cold and indifferent.",guilt,"Kematian ayah saya membuat saya merasa cukup bersalah, karena sikap saya terhadapnya dingin dan acuh tak acuh."
1045,"My mother, sister and I were thinking about old times, our á childhood, and we had a very happy time.",joy,"Ibu, saudara perempuan saya dan saya memikirkan masa lalu, masa kecil kami, dan kami memiliki waktu yang sangat bahagia."
1046,"My husband had gone to drive a strange, broken car.  At the á agreed time, he had not returned, and I feared that he had had an á accident.",fear,"Suamiku pergi mengendarai mobil aneh yang rusak. Pada waktu yang disepakati, dia belum kembali, dan saya takut dia mengalami kecelakaan."
1047,"I am a school teacher.  One of the classes does not obey me at all, á keeps on talking, does no work.  One afternoon, everything went á wrong, and I got exceedingly angry.",anger,"Saya seorang guru sekolah. Salah satu kelas tidak mematuhi saya sama sekali, á terus berbicara, tidak berhasil. Suatu sore, semuanya menjadi salah, dan saya menjadi sangat marah."
1048,"A young, close relative of mine died, leaving behind a baby a few á months old.",sadness,"Seorang kerabat muda saya yang dekat meninggal, meninggalkan bayi yang baru berumur beberapa bulan."
1049,"A series about Freud was shown on TV.  In it, a tampon had been á set in the nose of a woman, and forgotten there.  After great á pain it was taken off (close-up picture), the woman was bleeding á from the nose and the mouth.",disgust,"Serial tentang Freud ditampilkan di TV. Di dalamnya, sebuah tampon telah dipasang di hidung seorang wanita, dan dilupakan di sana. Setelah sakit á besar itu diambil (gambar close-up), wanita itu berdarah á dari hidung dan mulut."
1050,"I had promised to lend something to my mother-in-law and I forgot á it a couple of times.  When she asked me about it the third time, á I was ashamed at my absent-mindedness.",shame,"Saya telah berjanji untuk meminjamkan sesuatu kepada ibu mertua saya dan saya lupa beberapa kali. Ketika dia bertanya kepada saya tentang hal itu untuk ketiga kalinya, á Saya malu dengan ketidakhadiran saya."
1051,"A borrowed car broke down while I was using it.  It was not my á fault, nevertheless I felt guilty.",guilt,"Mobil yang dipinjam mogok saat saya menggunakannya. Itu bukan kesalahan saya, namun saya merasa bersalah."
1052,I started a new branch of studies after having failed a former á one.  When I got back my exam papers I was very happy to know á that I almost had full marks.,joy,"Saya memulai cabang studi baru setelah gagal dengan yang sebelumnya. Ketika saya kembali kertas ujian saya, saya sangat senang mengetahui bahwa saya hampir memiliki nilai penuh."
1053,"I was diving below the ice, in a cave, at a depth of 26 metres.  á Visibility was almost zero and the oxygen level decreased á threateningly.  There were three of us divers on one safety rope.",fear,"Saya menyelam di bawah es, di sebuah gua, pada kedalaman 26 meter. Vis Visibilitas hampir nol dan tingkat oksigen menurun á mengancam. Ada tiga dari kita penyelam di satu tali pengaman."
1054,My mother carried on using mental pressure concerning something á which was serious and a real burden to me.,anger,Ibu saya terus menggunakan tekanan mental tentang sesuatu yang serius dan merupakan beban nyata bagi saya.
1055,"My grandfather died, I went to the mortuary and saw the corpse.",sadness,"Kakek saya meninggal, saya pergi ke kamar mayat dan melihat mayat."
1056,[ The same as in anger.],disgust,[Sama seperti dalam kemarahan.]
1057,As a child when I was blamed for peeing in the swimming-pool.,shame,Sebagai seorang anak ketika saya disalahkan karena kencing di kolam renang.
1058,"A friend of mine was drunk and having an argument on the street á with a woman, appparently his girlfriend.  I was walking on the á other side of the street and thought that I was not supposed to á interfere.  Later I heard that he had shot himself that evening.",guilt,"Seorang teman saya mabuk dan bertengkar di jalan á dengan seorang wanita, tampaknya pacarnya. Saya sedang berjalan di sisi lain jalan dan berpikir bahwa saya tidak seharusnya ikut campur. Kemudian saya mendengar bahwa dia telah menembak dirinya sendiri malam itu."
1059,My girlfriend sent me a letter with a shiny picture in it.,joy,Pacar saya mengirimi saya surat dengan gambar mengkilap di dalamnya.
1060,I was about to begin a journey in a car with an acquaintance of á mine.,fear,Saya baru akan memulai perjalanan dengan mobil bersama seorang kenalan saya.
1061,On the TV news I heard that Nicaragua had complained about the á increasing threat of war with the USA.,anger,"Di berita TV, saya mendengar bahwa Nikaragua mengeluh tentang meningkatnya ancaman perang dengan AS."
1062,My girlfriend gave me the mitten (left me).,sadness,Pacar saya memberi saya sarung tangan (kiri saya).
1063,Watching a violent movie.,disgust,Menonton film kekerasan.
1064,The morning after a wild party.,shame,Pagi hari setelah pesta liar.
1065,"My grandmother was about to die, and it had the effect that at á night, after having read a book, and once in bed, in perfect á darkness, the fear arose that I too may suddenly die.",fear,"Nenek saya akan segera mati, dan itu berdampak bahwa pada á malam, setelah membaca buku, dan begitu di tempat tidur, dalam kegelapan sempurna á, ketakutan muncul bahwa saya juga akan tiba-tiba mati."
1066,"When I checked my examination paper and realized that I had been á careless, thoughtless, lazy and hasty so as to make unnecessary á mistakes concerning things I know and understand.",anger,"Ketika saya memeriksa kertas ujian saya dan menyadari bahwa saya telah ceroboh, ceroboh, malas dan tergesa-gesa untuk membuat kesalahan yang tidak perlu tentang hal-hal yang saya tahu dan mengerti."
1067,"When we decided, my boyfriend and I, that we would separate, I á realized that he would have wanted to continue our relationship á and the coming separation hurt him.",sadness,"Ketika kami memutuskan, pacar saya dan saya, bahwa kami akan berpisah, saya á menyadari bahwa ia ingin melanjutkan hubungan kami á dan perpisahan yang akan datang menyakitinya."
1068,"When an acquaintance of mine told me about the way his parents á treated their sons in an unequal manner.  The most successful of á them got continuous encouragement, and the youngest was not á encouraged and was rejected.",disgust,"Ketika seorang kenalan saya memberi tahu saya tentang cara orang tuanya memperlakukan anak-anak mereka dengan cara yang tidak setara. Yang paling sukses dari mereka mendapat dorongan terus-menerus, dan yang termuda tidak didorong dan ditolak."
1069,"I was talking to a friend of mine about our parents and á education.  I said something and then realized that I did not á know my friend's parents, their motives and education.  I felt á ashamed at having talked about something I did not know anything á about.",shame,"Saya sedang berbicara dengan seorang teman saya tentang orang tua kita dan pendidikan. Saya mengatakan sesuatu dan kemudian menyadari bahwa saya tidak tahu orang tua teman saya, motif dan pendidikan mereka. Saya merasa malu telah membicarakan sesuatu yang tidak saya ketahui."
1070,My mother told me that the enveloppes that I had been tearing (I á had torn the stamps away) in good faith had been the first-day á enveloppes which my father had collected as a young man.,guilt,Ibu saya mengatakan kepada saya bahwa amplop yang telah saya sobek (saya telah merobek prangko) dengan itikad baik adalah amplop hari pertama yang telah dikumpulkan ayah saya sebagai seorang pemuda.
1071,"I am not especially good at English, and after the high school á graduation exam in English I tensely waited for the result the á whole day.  In the evening, when I heard that I had done á excellently, I became very happy and the anxiety vanished.  My á family was at home.",joy,"Saya tidak terlalu pandai berbahasa Inggris, dan setelah ujian kelulusan SMA dalam bahasa Inggris saya tegang menunggu hasilnya sepanjang hari. Di malam hari, ketika saya mendengar bahwa saya telah melakukannya dengan sangat baik, saya menjadi sangat bahagia dan kecemasan itu hilang. Keluarga saya ada di rumah."
1072,"I feared that I was pregnant.  It was not planned and I would á have been compelled to have an abortion, which I would not have á liked at all.  Fortunately, after a week's anxiety, I got to know á that I was not pregnant.",fear,"Saya takut hamil. Itu tidak direncanakan dan saya á telah dipaksa untuk melakukan aborsi, yang saya tidak akan suka sama sekali. Untungnya, setelah kegelisahan selama satu minggu, saya mengetahui bahwa saya tidak hamil."
1073,"A member of a religious sect tried to convert me, using really á evil tricks to persuade me.  After he had left, I was anxious and á angry for a long time. After the event, I was alone.",anger,"Seorang anggota sekte agama mencoba mempertobatkan saya, menggunakan trik yang benar-benar jahat untuk membujuk saya. Setelah dia pergi, saya cemas dan á marah untuk waktu yang lama. Setelah acara itu, saya sendirian."
1074,"When my boyfriend wanted to leave me, I felt sad and melancholic.",sadness,"Ketika pacar saya ingin meninggalkan saya, saya merasa sedih dan melankolis."
1075,"In a film, there was an episode where they used a chain saw to á cut a man.  I could not look at it, but I could not avoid á listening either.  I sought shelter in my boyfriend's arms.",disgust,"Dalam sebuah film, ada sebuah episode di mana mereka menggunakan gergaji rantai untuk memotong seorang pria. Saya tidak bisa melihatnya, tetapi saya juga tidak bisa menghindar dari mendengarkan. Saya mencari perlindungan di tangan pacar saya."
1076,"I thought I would be able to use the mangle of the house, and so á I did not want any help.  However, I blocked it and I had to get á the janitor to help me out.  He reproached me for not having á followed the instructions",shame,"Saya pikir saya akan dapat menggunakan mangle rumah, jadi á Saya tidak ingin bantuan. Namun, saya memblokirnya dan saya harus meminta petugas kebersihan untuk membantu saya. Dia mencela saya karena tidak mengikuti instruksi"
1077,"I promised my friends that I would take care of something, but I á kept forgetting about it.  When they asked me about it, I á promised to do it immediately.  However, I got started only after á a couple of months.  I felt that I had betrayed my friends.",guilt,"Saya berjanji kepada teman-teman saya bahwa saya akan mengurus sesuatu, tetapi saya terus melupakannya. Ketika mereka bertanya kepada saya tentang hal itu, saya berjanji untuk segera melakukannya. Namun, saya baru mulai setelah beberapa bulan. Saya merasa telah mengkhianati teman-teman saya."
1078,"When I got an unexpected letter from  a guy, who had been my school á mate.",joy,"Ketika saya mendapat surat tak terduga dari seorang pria, yang telah menjadi teman sekolah saya."
1079,"When my brother went to shoot wild ducks, I feared that the á boat would overturn and he would drown or that the gun would á accidentally go off.",fear,"Ketika saudara laki-laki saya pergi untuk menembak bebek liar, saya khawatir bahwa á kapal akan terbalik dan dia akan tenggelam atau pistolnya akan mati secara tidak sengaja."
1080,My father had once again told me that I should be careful and try to á seek admission to other places also apart from the faculty of á Social Sciences at the university of Helsinki.  I was not at all á interested in any other place and had no time to study for other á entrance exams.,anger,Ayah saya sekali lagi mengatakan kepada saya bahwa saya harus berhati-hati dan mencoba untuk mencari masuk ke tempat lain juga terpisah dari fakultas Ilmu Sosial di universitas Helsinki. Saya sama sekali tidak tertarik pada tempat lain dan tidak punya waktu untuk belajar untuk ujian masuk lain.
1081,"I would have liked to go out to chat with some acquaintances, but á I realized that I was not wanted.  I felt hurt, disappointed, á lonely and deserted.",sadness,"Saya ingin keluar untuk mengobrol dengan beberapa kenalan, tetapi saya menyadari bahwa saya tidak diinginkan. Saya merasa sakit hati, kecewa, kesepian dan sunyi."
1082,"When an acquaintance (he was drunk) of my room-mate vomitted on the kitchen á carpet.  It was past mid-night and my room-mate had just moved in, á this acquaintance had helped her move in.á ",disgust,"Ketika seorang kenalan (dia mabuk) dari teman sekamar saya muntah di dapur á karpet. Sudah lewat tengah malam dan teman sekamar saya baru saja pindah, á kenalan ini membantunya pindah."
1083,"I was carried away while talking about my visits abroad and I á tended to boast a little, till I realized that the listener was á amused.",shame,"Saya terbawa ketika berbicara tentang kunjungan saya ke luar negeri dan saya cenderung sedikit membanggakan, sampai saya menyadari bahwa pendengarnya merasa geli."
1084,"When I was baby-sitting at my cousin's place, I tried to have a á pleasant time and did not really take care of the child.  I do á not care very much about children.",guilt,"Ketika saya masih bayi-duduk di tempat sepupu saya, saya mencoba untuk memiliki waktu yang menyenangkan dan tidak benar-benar merawat anak itu. Saya tidak terlalu peduli tentang anak-anak."
